gene	cytoband
MINK1	17p13.2
CFAP74	1p36.33
ADAL	15q15.3
CDC6	17q21.2
TMEM232	5q22.1
TLR3	4q35.1
PPP1R13B	14q32.33
IL2	4q27
TRIM72	16p11.2
CUBN	10p13
SDC1	2p24.1
SPNS2	17p13.2
KRTAP9-7	17q21.2
PMS2	7p22.1
EIF4A1	17p13.1
GAGE13	23p11.23
IL20RB	3q22.3
ANK1	8p11.21
GGCX	2p11.2
FAM83H	8q24.3
ACCSL	11p11.2
DOK6	18q22.2
CLEC3A	16q23.1
CST2	20p11.21
SOHLH1	9q34.3
CLECL1	12p13.31
NUDT14	14q32.33
ARHGEF3	3p14.3
PANK4	1p36.32
WTH3DI	2q21.1
IFT52	20q13.12
MED12L	3q25.1
RPRM	2q23.3
ZNF334	20q13.12
SNX2	5q23.2
TEN1	17q25.1
DECR1	8q21.3
OR10K2	1q23.1
DDA1	19p13.11
NEUROD1	2q31.3
SPANXB1	23q27.1
PRR30	2p23.3
RAB11FIP1	8p11.23
CXADR	21q21.1
DEFB130A	8p23.1
OR5H1	3q11.2
OXGR1	13q32.1
TULP2	19q13.33
KDSR	18q21.33
ZSCAN16	6p22.1
DYNLT1	6q25.3
PDE11A	2q31.2
PHLPP1	18q21.33
CASTOR2	7q11.23
COL9A1	6q13
CBLN1	16q12.1
NPAS4	11q13.2
RALY	20q11.22
TRPC5	23q23
TRAT1	3q13.13
FNDC8	17q12
ATP6V1D	14q23.3
TMEM220	17p13.1
CYSLTR1	23q21.1
NRDE2	14q32.11
ZNF141	4p16.3
DPRX	19q13.42
DNAJA1	9p21.1
TDRD9	14q32.33
DHDDS	1p36.11
CACNA2D4	12p13.33
LIG4	13q33.3
GTF3C1	16p12.1
DUS3L	19p13.3
ABCA13	7p12.3
ARHGEF17	11q13.4
OR5M3	11q12.1
KIAA0408	6q22.33
LARP4B	10p15.3
P4HA2	5q31.1
TMPPE	3p22.3
USP30	12q24.11
BIRC2	11q22.2
RENBP	23q28
MYO7A	11q13.5
SPATA8	15q26.2
ABCF2	7q36.1
UROC1	3q21.3
VASN	16p13.3
CELA3A	1p36.12
USP10	16q24.1
ARHGDIB	12p12.3
HES3	1p36.31
CDK8	13q12.13
IGSF6	16p12.2
NLGN3	23q13.1
ICAM3	19p13.2
PAPPA2	1q25.2
NSD1	5q35.3
PROX1	1q32.3
TNPO3	7q32.1
BGN	23q28
APBA1	9q21.12
DEFB129	20p13
TBC1D24	16p13.3
THBS3	1q22
JPT2	16p13.3
PROK1	1p13.3
TBC1D31	8q24.13
CYP2C9	10q23.33
SLC34A2	4p15.2
VPREB3	22q11.23
MICAL1	6q21
TIGD3	11q13.1
RP11-402P6.15	23q13.1
RITA1	12q24.13
CHRDL1	23q23
SPO11	20q13.31
SLC20A1	2q14.1
OR6C75	12q13.2
GCNA	23q13.1
OR2T12	1q44
PAPPA	9q33.1
PLA2G2A	1p36.13
PPP1R11	6p22.1
PPP1R27	17q25.3
PBRM1	3p21.1
UBE2E2	3p24.3
MYO1D	17q11.2
GLYR1	16p13.3
ARHGEF19	1p36.13
MESD	15q25.1
DNAJB1	19p13.12
CRABP2	1q23.1
NUP98	11p15.4
NDUFAF3	3p21.31
POLH	6p21.1
GLIS1	1p32.3
RBM34	1q42.3
TUT7	9q21.33
TSPAN4	11p15.5
SLC5A4	22q12.3
OPRPN	4q13.3
TPH1	11p15.1
NSMCE2	8q24.13
SLC13A3	20q13.12
SHB	9p13.1
RBCK1	20p13
RPL15	3p24.2
MYBPHL	1p13.3
SPAG17	1p12
ATL2	2p22.1
CCNI	4q21.1
PHLDA2	11p15.4
ITPR2	12p11.23
RPTOR	17q25.3
CYYR1	21q21.3
BLNK	10q24.1
ZNF878	19p13.2
ARC	8q24.3
RGS2	1q31.2
EPS8L1	19q13.42
TMEM223	11q12.3
ZNF569	19q13.12
RP11-98L5.5	9q34.3
ST3GAL3	1p34.1
EIF2S2	20q11.22
NUP214	9q34.13
NPC2	14q24.3
TMEM238L	17p12
NSMCE3	15q13.1
SLC66A2	18q23
UQCRB	8q22.1
TMEM174	5q13.2
ARHGEF5	7q35
MFSD3	8q24.3
OR56A4	11p15.4
CASP5	11q22.3
CORO7-PAM16	16p13.3
SGCE	7q21.3
HECW1	7p13
EGR3	8p21.3
RTN3	11q13.1
MRPS36	5q13.2
PCGF6	10q24.33
PPP1CA	11q13.2
NUP210	3p25.1
ZKSCAN5	7q22.1
TBXA2R	19p13.3
C2orf49	2q12.2
CPT1C	19q13.33
SLC40A1	2q32.2
CCDC102B	18q22.1
BTBD2	19p13.3
CRYBG1	6q21
CCDC113	16q21
C9orf153	9q21.33
GPR42	19q13.12
MAGEC2	23q27.2
NTN4	12q22
GDI2	10p15.1
OIP5	15q15.1
SPTBN4	19q13.2
SCIN	7p21.3
TOR2A	9q34.11
NUDC	1p36.11
FBP2	9q22.32
GRPEL1	4p16.1
AL135745.1	14q23.3
ZNF100	19p12
COQ4	9q34.11
FOXO1	13q14.11
CD200	3q13.2
MAMSTR	19q13.33
GJE1	6q24.1
CHST3	10q22.1
TRNT1	3p26.2
CT45A6	23q26.3
KLC4	6p21.1
PLEKHH1	14q24.1
ZNF174	16p13.3
SUFU	10q24.32
CH507-9B2.5	21p12
BAX	19q13.33
BRWD1	21q22.2
CLDN11	3q26.2
OR51B5	11p15.4
CCDC190	1q23.3
MSTN	2q32.2
C9orf64	9q21.32
ZNF665	19q13.42
NR2F2	15q26.2
KCNJ16	17q24.3
ANGPT1	8q23.1
CALCOCO1	12q13.13
GPR62	3p21.2
MTPAP	10p11.23
WNT6	2q35
NUP54	4q21.1
OR10D3	11q24.2
WDR17	4q34.2
KRTAP9-2	17q21.2
ATP8A1	4p13
TSTD3	6q16.2
VCX3A	23p22.31
HSP90AB1	6p21.1
CTAGE8	7q35
ARHGAP1	11p11.2
GBA2	9p13.3
SNX27	1q21.3
DPAGT1	11q23.3
MPDU1	17p13.1
BPNT1	1q41
ZNF607	19q13.12
OR10H2	19p13.12
PROS1	3q11.1
CARMIL2	16q22.1
C15orf39	15q24.2
RNF157	17q25.1
DIMT1	5q12.1
EVC2	4p16.2
FBXO36	2q36.3
KRT36	17q21.2
SNRPN	15q11.2
PPP1R3A	7q31.1
MYH9	22q12.3
HECA	6q24.1
DCAF4	14q24.2
ATP5PB	1p13.2
RHBDF1	16p13.3
MYO5B	18q21.1
NXF2B	23q22.1
FAM200A	7q22.1
ASPG	14q32.33
SERBP1	1p31.3
NPL	1q25.3
C15orf61	15q23
RLBP1	15q26.1
THAP11	16q22.1
CD8B	2p11.2
RPS18	6p21.32
TRPA1	8q21.11
IFIT1	10q23.31
LRRC17	7q22.1
TRPC4	13q13.3
CNEP1R1	16q12.1
NCOA3	20q13.12
C2orf73	2p16.2
PRKD2	19q13.32
GABPA	21q21.3
FBXL3	13q22.3
TAS2R14	12p13.2
MORC1	3q13.13
KCNK9	8q24.3
TSSC4	11p15.5
GOLPH3L	1q21.3
YWHAQ	2p25.1
CHST13	3q21.3
LONP1	19p13.3
AC066615.1	15q21.1
ZNF875	19q13.12
EMC7	15q14
FIZ1	19q13.42
KRTAP10-10	21q22.3
CHIT1	1q32.1
AFP	4q13.3
BTG3	21q21.1
FKBP7	2q31.2
GSTM3	1p13.3
RAMAC	15q25.2
PSMA4	15q25.1
MATN3	2p24.1
GAP43	3q13.31
ACSL4	23q23
CKMT1B	15q15.3
CCT8	21q21.3
FAM9A	23p22.31
ZNF552	19q13.43
ADAMTS20	12q12
NIPAL1	4p12
PCDHB15	5q31.3
PEDS1	20q13.13
OPRD1	1p35.3
GFER	16p13.3
CCAR2	8p21.3
GPR37L1	1q32.1
SSPOP	7q36.1
SLC24A4	14q32.12
RCN2	15q24.3
DPEP1	16q24.3
UCHL3	13q22.2
ACLY	17q21.2
USP40	2q37.1
RCAN2	6p12.3
RORA	15q22.2
SLC25A1	22q11.21
OSBPL10	3p23
RAPGEF2	4q32.1
MYLK4	6p25.2
SBF2	11p15.4
ANKRD39	2q11.2
XYLT2	17q21.33
COX4I2	20q11.21
USH2A	1q41
STOML2	9p13.3
NT5M	17p11.2
NDUFA6	22q13.2
OR6F1	1q44
H2BC6	6p22.2
OR7C2	19p13.12
ADD3	10q25.1
SERPINF2	17p13.3
LIN7B	19q13.33
RECQL	12p12.1
TMEM200B	1p35.3
ARSG	17q24.2
CRP	1q23.2
ADAMTS12	5p13.3
PCBP3	21q22.3
EPHX2	8p21.1
ZSWIM1	20q13.12
TRPC5OS	23q23
MASP2	1p36.22
BICD2	9q22.31
FZD7	2q33.1
USP49	6p21.1
RTL6	22q13.31
SLC25A21	14q13.3
NUFIP2	17q11.2
NFRKB	11q24.3
AC010412.1	19q13.2
AF131216.1	8p23.1
PTP4A1	6q12
TLR6	4p14
MAN2A1	5q21.3
GALNTL5	7q36.1
HBE1	11p15.4
SCAF4	21q22.11
ARFGEF3	6q23.3
EEF1E1	6p24.3
TYW1	7q11.21
COQ9	16q21
AC055733.1	3q22.1
MALSU1	7p15.3
TSPYL2	23p11.22
EDA2R	23q12
IZUMO1R	11q21
SMAD9	13q13.3
PATZ1	22q12.2
IGF1	12q23.2
DCAF17	2q31.1
TPD52L1	6q22.31
CYP4X1	1p33
LIN28A	1p36.11
ENO4	10q25.3
MS4A13	11q12.2
FGD1	23p11.22
MOB1B	4q13.3
NAT2	8p22
ZNF282	7q36.1
ATP6V1C1	8q22.3
DBF4B	17q21.31
RP2	23p11.3
PLCH1	3q25.31
MAML3	4q31.1
TCF15	20p13
SYT1	12q21.2
PCSK1	5q15
IFI6	1p35.3
LIX1	5q15
PRPF38B	1p13.3
C5orf24	5q31.1
SLC25A51	9p13.2
RDH14	2p24.2
SPRING1	12q24.22
PDE5A	4q26
TRAF6	11p12
RBM18	9q33.2
FBXO34	14q22.3
PRPF3	1q21.2
MMACHC	1p34.1
GPN1	2p23.3
BTBD1	15q25.2
PCF11	11q14.1
CENPB	20p13
PCNT	21q22.3
ZNF680	7q11.21
OMG	17q11.2
PCMTD1	8q11.23
EIF2S3	23p22.11
ELOVL2	6p24.2
PPP1R1A	12q13.2
AK9	6q21
ACAP1	17p13.1
MT-CO2	N/A
MFSD14B	9q22.32
VAMP4	1q24.3
TMEM235	17q25.3
URGCP	7p13
GBP3	1p22.2
UPP1	7p12.3
PRR23D2	8p23.1
RGS11	16p13.3
DUX4	4q35.2
TMEM161B	5q14.3
WDR83	19p13.13
RPL35	9q33.3
MACO1	1p36.11
MTX3	5q14.1
MTERF1	7q21.2
DSN1	20q11.23
DMRTC1	23q13.1
SLC26A10	12q13.3
HNRNPH2	23q22.1
DNAJB11	3q27.3
GHRL	3p25.3
SULT1A2	16p11.2
ONECUT3	19p13.3
RP4-816N1.8	12p13.33
CHCHD10	22q11.23
MAN2B1	19p13.13
OLFM2	19p13.2
C22orf31	22q12.1
CLUL1	18p11.32
PARD6G	18q23
IFNL2	19q13.2
NIT2	3q12.2
MED17	11q21
FAM209B	20q13.31
SYNE2	14q23.2
NCBP1	9q22.33
COA3	17q21.2
RGPD3	2q12.2
RABGEF1	7q11.21
RAB4B	19q13.2
RSPH3	6q25.3
DNAJB13	11q13.4
DPP3	11q13.2
ZNF610	19q13.41
ADA	20q13.12
HCAR2	12q24.31
TPSG1	16p13.3
LIMCH1	4p13
MTCL1	18p11.22
PUF60	8q24.3
PRKD1	14q12
PRPF6	20q13.33
TAS2R10	12p13.2
OR1E2	17p13.2
NIPSNAP3B	9q31.1
PFAS	17p13.1
MOV10L1	22q13.33
VAMP1	12p13.31
TTBK1	6p21.1
LRIT1	10q23.1
MPDZ	9p23
VPS37A	8p22
SCNM1	1q21.3
ZNF704	8q21.13
BACE1	11q23.3
PSMB4	1q21.3
PYGM	11q13.1
FRY	13q13.1
LRP12	8q22.3
MRM1	17q12
ATP6V0A1	17q21.2
OTOR	20p12.1
TGFB2	1q41
MRPL53	2p13.1
OR2G3	1q44
BHMT	5q14.1
FBXO2	1p36.22
XRCC5	2q35
CHRNB3	8p11.21
CFHR1	1q31.3
DCDC2C	2p25.3
PDAP1	7q22.1
TBKBP1	17q21.32
TBC1D14	4p16.1
CADM4	19q13.31
H3C12	6p22.1
ZNF316	7p22.1
RP11-249C24.12	16q13
IFI16	1q23.1
SCGN	6p22.2
DYNLT2	6q27
NFE2L1	17q21.32
EMID1	22q12.2
PACSIN3	11p11.2
SDF4	1p36.33
USP34	2p15
R3HCC1L	10q24.2
SLC2A5	1p36.23
ALPK3	15q25.3
SPINK7	5q32
SCLT1	4q28.2
LOXL4	10q24.2
GARIN5B	19q13.42
L3MBTL2	22q13.2
CENPC	4q13.2
NCR2	6p21.1
CALHM3	10q24.33
SRF	6p21.1
RESF1	12p11.21
ZCCHC10	5q31.1
ASB8	12q13.11
TM4SF1	3q25.1
CENPBD1P	16q24.3
PSKH2	8q21.3
SFTPD	10q22.3
CARM1	19p13.2
GFRA3	5q31.2
USP17L7	8p23.1
XYLB	3p22.2
POU2F1	1q24.2
TESK1	9p13.3
SPON1	11p15.2
USP41	22q11.21
ZNF567	19q13.12
SLC25A12	2q31.1
ZSCAN2	15q25.2
CHRNA5	15q25.1
GJC1	17q21.31
ST6GALNAC1	17q25.1
PCED1A	20p13
RTP5	2q37.3
GNRHR	4q13.2
POC5	5q13.3
THAP10	15q23
SLC25A39	17q21.31
A4GALT	22q13.2
SOD3	4p15.2
RABL2B	22q13.33
CSPG5	3p21.31
BCAP29	7q22.3
IL22RA2	6q23.3
ARHGAP29	1p22.1
DDX51	12q24.33
OTUD7A	15q13.3
BCL6B	17p13.1
MCEMP1	19p13.2
SH3GLB1	1p22.3
MSANTD2	11q24.2
MOS	8q12.1
CCDC63	12q24.11
ZFHX2	14q11.2
CPVL	7p14.3
PIK3R3	1p34.1
RASGEF1B	4q21.22
FAM118B	11q24.2
OR4K15	14q11.2
CEBPE	14q11.2
RHOBTB2	8p21.3
POLR2G	11q12.3
BORCS5	12p13.2
HMX3	10q26.13
SRSF7	2p22.1
RBBP5	1q32.1
CDK5RAP2	9q33.2
UNC80	2q34
PET100	19p13.2
CCDC97	19q13.2
DPP7	9q34.3
ENO2	12p13.31
BID	22q11.21
TMEM59	1p32.3
CRKL	22q11.21
C6orf52	6p24.2
MAP3K14	17q21.31
ZNF518B	4p16.1
JPH2	20q13.12
GGACT	13q32.3
NF1	17q11.2
H2BW1	23q22.2
PAOX	10q26.3
SPAG11A	8p23.1
COL1A1	17q21.33
H2AC12	6p22.1
AURKA	20q13.2
DKK3	11p15.3
MPP7	10p12.1
HTR1A	5q12.3
JAK1	1p31.3
PPIL3	2q33.1
SLITRK3	3q26.1
ZNF776	19q13.43
ITSN2	2p23.3
LY6G5C	6p21.33
LYSMD1	1q21.3
TFAP2A	6p24.3
IL18R1	2q12.1
SLC39A12	10p12.33
C19orf47	19q13.2
FAM24A	10q26.13
PPP6R1	19q13.42
CASP3	4q35.1
SDC4	20q13.12
MXD3	5q35.3
AAK1	2p13.3
METTL26	16p13.3
GPATCH11	2p22.2
C22orf39	22q11.21
FAM171B	2q32.1
SIRPB2	20p13
TTYH3	7p22.3
IRF1	5q31.1
MPV17	2p23.3
MAT2B	5q34
KLHL40	3p22.1
PCDHA7	5q31.3
EIF4G1	3q27.1
OCM	7p22.1
C7	5p13.1
SNAPC3	9p22.3
CEP290	12q21.32
SGSM3	22q13.1
OR52E6	11p15.4
KLRC1	12p13.2
CTDNEP1	17p13.1
RBMY1E	24q11.223
SSC4D	7q11.23
SRXN1	20p13
HSPA4	5q31.1
H2AC13	6p22.1
TSEN2	3p25.2
UBTD1	10q24.2
FBXL15	10q24.32
IRX3	16q12.2
SLC29A3	10q22.1
SIK2	11q23.1
ENTPD7	10q24.2
STARD10	11q13.4
TMEM104	17q25.1
LAMA3	18q11.2
REV3L	6q21
POLR2L	11p15.5
ENGASE	17q25.3
SETD3	14q32.2
TOP3A	17p11.2
HIF1A	14q23.2
CD22	19q13.12
IFNA16	9p21.3
CTPS1	1p34.2
NAGPA	16p13.3
DYSF	2p13.2
ANGPTL3	1p31.3
JMJD8	16p13.3
POLE2	14q21.3
PDZD7	10q24.31
DOCK9	13q32.3
DYRK1B	19q13.2
NANP	20p11.21
MT4	16q13
KIF6	6p21.2
MAP1LC3A	20q11.22
LGALS9B	17p11.2
KCNH5	14q23.2
VPS35L	16p12.3
CLEC20A	1q25.2
TRHR	8q23.1
ITGA6	2q31.1
PXYLP1	3q23
CHUK	10q24.31
BLOC1S1	12q13.2
VAMP7	23q28
AC005480.1	14q24.3
UACA	15q23
MRFAP1L1	4p16.1
ADIPOR1	1q32.1
AGFG2	7q22.1
DEPP1	10q11.21
TAF1D	11q21
POTEH	22q11.1
APOL3	22q12.3
CELF3	1q21.3
KIF20B	10q23.31
FICD	12q23.3
IL4I1	19q13.33
AKR7A3	1p36.13
COL9A2	1p34.2
DEFB134	8p23.1
CTTNBP2NL	1p13.2
GPSM3	6p21.32
IFNK	9p21.2
CFAP95	9q21.12
RP11-766F14.2	4q23
FXYD4	10q11.21
H3C8	6p22.2
SLC22A24	11q12.3
VXN	8q13.1
JKAMP	14q23.1
AC087762.1	15q26.3
SSMEM1	7q32.2
EIF3E	8q23.1
PGAP4	9q31.1
MARK1	1q41
NMNAT2	1q25.3
TAF3	10p14
ZNF506	19p13.11
GRIK1	21q21.3
MRPS11	15q25.3
LRRTM1	2p12
AGTPBP1	9q21.33
ZNF354C	5q35.3
NOP56	20p13
CAMTA2	17p13.2
NOL4L	20q11.21
WDR72	15q21.3
DZIP3	3q13.13
C1orf52	1p22.3
NCOA1	2p23.3
AL135787.1	9q31.3
FMR1	23q27.3
GPATCH4	1q22
ZNF576	19q13.31
GET4	7p22.3
HSD17B10	23p11.22
MGST3	1q24.1
NUDT2	9p13.3
CCDC158	4q21.1
OR5AK2	11q12.1
GLRA2	23p22.2
TECTB	10q25.2
SLC22A2	6q25.3
LY75-CD302	2q24.2
KRTAP4-5	17q21.2
CTBP2	10q26.13
OR2W1	6p22.1
GNPTG	16p13.3
LUZP1	1p36.12
MMD	17q22
EXOSC5	19q13.2
PSAP	10q22.1
ZNF484	9q22.31
SERF2	15q15.3
LY6G6E	6p21.33
LAMA4	6q21
SLC30A5	5q13.2
IL15	4q31.21
KLF9	9q21.12
MCTS1	23q24
NPC1	18q11.2
TCF25	16q24.3
DIRAS1	19p13.3
FBXO45	3q29
KRT76	12q13.13
IGFBP2	2q35
SH3RF3	2q13
PARM1	4q13.3
RPS19BP1	22q13.1
ISY1	3q21.3
ADGRA3	4p15.2
GMDS	6p25.3
SCN9A	2q24.3
SAP18	13q12.11
POLD2	7p13
ZHX1-C8orf76	8q24.13
LAMTOR4	7q22.1
FOXRED1	11q24.2
IQCJ	3q25.32
ADAM30	1p12
ANXA5	4q27
EMC8	16q24.1
NTPCR	1q42.2
STK16	2q35
SSR3	3q25.31
LYZL6	17q12
RET	10q11.21
RAE1	20q13.31
MKS1	17q22
RFPL4B	6q21
SGCA	17q21.33
USP21	1q23.3
TATDN3	1q32.3
FRMD4B	3p14.1
TSHB	1p13.2
ITGB6	2q24.2
NPY	7p15.3
CCR6	6q27
SPTY2D1	11p15.1
SMLR1	6q23.1
ARF1	1q42.13
TMPRSS6	22q12.3
CCT6B	17q12
MCFD2	2p21
MIS18BP1	14q21.2
TMEM52B	12p13.2
KCNH1	1q32.2
TRIM40	6p22.1
ADGB	6q24.3
SPIN1	9q22.1
RADX	23q22.3
KRT6A	12q13.13
PPP1R35	7q22.1
DNMBP	10q24.2
IKZF4	12q13.2
ZNF621	3p22.1
MAP3K12	12q13.13
TBX5	12q24.21
ATRN	20p13
MAP4	3p21.31
TSPAN2	1p13.2
AP4S1	14q12
MZB1	5q31.2
ZNF286B	17p11.2
KCTD19	16q22.1
ANKRD30A	10p11.21
THRSP	11q14.1
GPR174	23q21.1
NPIPB3	16p12.2
SNUPN	15q24.2
WWP2	16q22.1
AMBRA1	11p11.2
AF165138.7	21q11.2
CASZ1	1p36.22
ITLN1	1q23.3
SLA	8q24.22
CCDC81	11q14.2
GPATCH8	17q21.31
CLU	8p21.1
SNX8	7p22.3
JMJD7	15q15.1
SNTA1	20q11.21
YWHAB	20q13.12
CTDSPL	3p22.2
EAF2	3q13.33
SIDT1	3q13.2
TM4SF4	3q25.1
SNRPG	2p13.3
MRPL3	3q22.1
RPS23	5q14.2
AGR2	7p21.1
PRPF19	11q12.2
HOXC10	12q13.13
KRT85	12q13.13
CLEC5A	7q34
IFNAR2	21q22.11
METRN	16p13.3
GXYLT2	3p13
DNAJC10	2q32.1
PRR3	6p21.33
STYK1	12p13.2
WSCD2	12q23.3
ARIH2	3p21.31
DNAJC18	5q31.2
LRSAM1	9q33.3
HOXA3	7p15.2
DPH6	15q14
NUCB1	19q13.33
LAIR2	19q13.42
HNRNPCL2	1p36.21
PDCD4	10q25.2
RSAD2	2p25.2
SMAD1	4q31.21
VPS13B	8q22.2
TPST2	22q12.1
KHSRP	19p13.3
MID2	23q22.3
GSTM1	1p13.3
FBN2	5q23.3
SDS	12q24.13
SLFNL1	1p34.2
APOL2	22q12.3
IFITM10	11p15.5
AC010287.1	16q21
MRPL30	2q11.2
TGIF2-RAB5IF	20q11.23
TICAM2	5q22.3
ERP29	12q24.13
KRTAP25-1	21q22.11
TNFSF12	17p13.1
OSBPL8	12q21.2
HMBS	11q23.3
REEP3	10q21.3
LSM1	8p11.23
ADRA2C	4p16.3
GDNF	5p13.2
HSPB7	1p36.13
ZNF398	7q36.1
SCLY	2q37.3
ATP11B	3q26.33
N4BP2	4p14
LRRN4	20p12.3
RAB13	1q21.3
MUC20	3q29
BARX1	9q22.32
MMP1	11q22.2
ZNF536	19q12
B9D2	19q13.2
DGKZ	11p11.2
AS3MT	10q24.32
GALP	19q13.43
UGT2B7	4q13.2
F2R	5q13.3
RABL3	3q13.33
GBP1	1p22.2
C12orf57	12p13.31
CLDN17	21q21.3
GUCY1A2	11q22.3
RPS6KA5	14q32.11
CPLX3	15q24.1
PLA2G10	16p13.12
FABP2	4q26
PZP	12p13.31
PTGER3	1p31.1
ZNF696	8q24.3
SAMD8	10q22.2
ANAPC15	11q13.4
CYP2E1	10q26.3
APOC3	11q23.3
PDK4	7q21.3
C11orf40	11p15.4
RNASE10	14q11.2
SNPH	20p13
SLC5A1	22q12.3
APOC1	19q13.32
SLC2A11	22q11.23
DNAJC7	17q21.2
POLR1F	7p21.1
HPRT1	23q26.2
MUS81	11q13.1
GPS1	17q25.3
ACAD8	11q25
ELP2	18q12.2
SNAPIN	1q21.3
C19orf38	19p13.2
FAM86B1	8p23.1
RNF111	15q22.2
CLEC4D	12p13.31
RNF168	3q29
LNX2	13q12.2
HSDL1	16q24.1
NUP58	13q12.13
EFCAB14	1p33
BBX	3q13.12
CALML5	10p15.1
C4orf50	4p16.2
DIO2	14q31.1
PGAP6	16p13.3
IFNAR1	21q22.11
GRB2	17q25.1
EOGT	3p14.1
CAPN13	2p23.1
CCDC14	3q21.1
ERAS	23p11.23
ULBP1	6q25.1
PXMP4	20q11.22
GANAB	11q12.3
DONSON	21q22.11
CROCC	1p36.13
ANAPC13	3q22.2
NOTO	2p13.2
AC009014.3	5q31.1
DEFA4	8p23.1
CNIH2	11q13.2
SREK1IP1	5q12.3
SMARCC2	12q13.2
A1BG	19q13.43
UTS2B	3q28
RNF139	8q24.13
LMNTD2	11p15.5
MUC6	11p15.5
ARHGAP11B	15q13.2
MYMK	9q34.2
DLAT	11q23.1
FOXP2	7q31.1
ZNF674	23p11.3
IL17C	16q24.2
NRARP	9q34.3
PIK3R5	17p13.1
FMNL3	12q13.12
IRF2	4q35.1
ZNF570	19q13.12
HNRNPCL1	1p36.21
GTF2B	1p22.2
IFT57	3q13.12
RELA	11q13.1
ANKRD33	12q13.13
SMCP	1q21.3
LRFN1	19q13.2
ERGIC2	12p11.22
ADM	11p15.4
AC004381.6	16p12.3
OR2M7	1q44
OR1Q1	9q33.2
TRIM13	13q14.2
TRPM2	21q22.3
ARMH4	14q23.1
JUND	19p13.11
LRRC8C	1p22.2
SLCO1A2	12p12.1
OR4M2	15q11.2
FOXK2	17q25.3
SUGP1	19p13.11
PI16	6p21.2
TVP23C-CDRT4	17p12
GALNT4	12q21.33
TSGA10IP	11q13.1
ASIP	20q11.22
TBX20	7p14.2
PPDPFL	8q11.21
LYAR	4p16.3
RPF1	1p22.3
TMCO2	1p34.2
CLPP	19p13.3
OR4N4	15q11.2
FRYL	4p11
NUP37	12q23.2
CAND2	3p25.2
CYP2C18	10q23.33
PTGES3L	17q21.31
TMEM202	15q24.1
PPP6R2	22q13.33
ZNF76	6p21.31
SVOPL	7q34
ZMPSTE24	1p34.2
OR51M1	11p15.4
CYP1A1	15q24.1
GLYAT	11q12.1
PLSCR4	3q24
SCGB3A2	5q32
CBY2	13q14.13
SPRR1A	1q21.3
PFKFB2	1q32.1
HOXB13	17q21.32
SH3BGRL	23q21.1
FGFR1OP2	12p11.23
CADM3	1q23.2
GNMT	6p21.1
BTNL8	5q35.3
NLE1	17q12
CCDC196	14q23.3
ORMDL1	2q32.2
PDE6B	4p16.3
LRCH4	7q22.1
ZNF384	12p13.31
PVALEF	17q25.3
NDUFAF8	17q25.3
TNRC6C	17q25.3
CTSL	9q21.33
ATP2C2	16q24.1
MIER2	19p13.3
NDUFA3	19q13.42
PRND	20p13
LAMA5	20q13.33
AP1B1	22q12.2
FOXL2	3q22.3
HOXC9	12q13.13
ORAI3	16p11.2
RP11-108O10.8	11q23.1
KLHL34	23p22.12
ZNF488	10q11.22
CD1C	1q23.1
DCC	18q21.2
RHAG	6p12.3
CDKN1C	11p15.4
MARCO	2q14.2
CRLF1	19p13.11
CTD-2006C1.13	19p13.2
VAMP3	1p36.23
TDRD5	1q25.2
TIFAB	5q31.1
YME1L1	10p12.1
SUPV3L1	10q22.1
OGFRL1	6q13
STN1	10q24.33
SERF1B	5q13.2
HEY1	8q21.13
AC096949.1	1p21.2
APOD	3q29
DYNC1H1	14q32.31
PSMD3	17q21.1
RAB11FIP4	17q11.2
KRBOX5	16p11.2
COASY	17q21.2
SURF6	9q34.2
SLC44A5	1p31.1
ARRDC1	9q34.3
MYL1	2q34
ATP13A2	1p36.13
ADH4	4q23
AKIP1	11p15.4
POLA2	11q13.1
SERPINB9	6p25.2
COL3A1	2q32.2
TRIM64B	11q14.3
IQCK	16p12.3
RBM39	20q11.22
SECTM1	17q25.3
RPA2	1p35.3
APBB1IP	10p12.1
EXOSC6	16q22.1
FIS1	7q22.1
LSM10	1p34.3
SDC3	1p35.2
ANKRD63	15q15.1
RDH5	12q13.2
RICTOR	5p13.1
ANKRD35	1q21.1
DAP3	1q22
ZAR1	4p11
SLC2A1	1p34.2
CD14	5q31.3
ADAMTSL4	1q21.2
MORF4L1	15q25.1
RGL3	19p13.2
KLC3	19q13.32
ABHD11	7q11.23
ARPC1A	7q22.1
C8orf58	8p21.3
OR6C6	12q13.2
PJA2	5q21.3
CEBPD	8q11.21
SHISAL2A	1p32.3
EIF4E2	2q37.1
ATP1B2	17p13.1
TRIM16	17p12
TSKS	19q13.33
LAMP3	3q27.1
PCDHA4	5q31.3
CLEC2L	7q34
CLDN9	16p13.3
CLTC	17q23.1
BACH1	21q21.3
METTL25B	1q23.1
GAL3ST1	22q12.2
RELL2	5q31.3
CTNNA3	10q21.3
RBBP8	18q11.2
OLR1	12p13.2
ZNF480	19q13.41
BARHL2	1p22.2
CPA4	7q32.2
ABT1	6p22.2
MGAT1	5q35.3
SLC4A4	4q13.3
CA5B	23p22.2
KCP	7q32.1
OTUB2	14q32.12
OR10Q1	11q12.1
CTNND2	5p15.2
CMPK2	2p25.2
RNF40	16p11.2
PCYT1B	23p22.11
RPL41	12q13.2
FANCD2OS	3p25.3
